Titles,ShelterName,Provider,Facility,DHS Building ID,Facility Type,Borough,Landlord,Open Violations,New Violations,Closed Violations,Total Open Violations ,location,latitude,longitude
"WIN West Women's Shelter, WOMEN IN NEED INC, Adult Shelter",WIN West Women's Shelter, WOMEN IN NEED INC, Adult Shelter,1655.0,Adult Shelter,Manhattan,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
"New Providence, Project Renewal, Adult Shelter",New Providence, Project Renewal, Adult Shelter,1623.0,Adult Shelter,Manhattan,X West 25th Group LLC ,3.0,0.0,3.0,0.0,{'lat': 40.7571519 'lng': -73.9726033},40.7571519,-73.9726033
"xxrd Street Men's Shelter, Samaritan Daytop Village, Adult Shelter",xxrd Street Men's Shelter, Samaritan Daytop Village, Adult Shelter,508690.0,Adult Shelter,Manhattan,NH LLC,1.0,0.0,0.0,1.0,{'lat': 40.7405502 'lng': -73.9741705},40.7405502,-73.9741705
"Park Avenue, Lenox Hill Neighborhood House, Adult Shelter",Park Avenue, Lenox Hill Neighborhood House, Adult Shelter,34832.0,Adult Shelter,Manhattan,X W 51 LLC  ,1.0,1.0,1.0,1.0,{'lat': 40.7999249 'lng': -73.9426012},40.7999249,-73.9426012
"Jardin Central Pre-Assessment Shelter, Bowery Residents Committee Inc., Adult Shelter",Jardin Central Pre-Assessment Shelter, Bowery Residents Committee Inc., Adult Shelter,1653.0,Adult Shelter,Manhattan,NYC Owned (DHS),2.0,0.0,1.0,1.0,{'lat': 40.7981823 'lng': -73.9517376},40.7981823,-73.9517376
"xxxth Street Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter",xxxth Street Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter,48896.0,Adult Shelter,Manhattan,MANHATTAN MIDTOWN LLC,5.0,0.0,1.0,4.0,{'lat': 40.7106035 'lng': -73.9975085},40.7106035,-73.9975085
"xxxth Street Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter",xxxth Street Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter,1605.0,Adult Shelter,Manhattan,NYC Owned (DHS),0.0,8.0,7.0,1.0,{'lat': 40.7106035 'lng': -73.9975085},40.7106035,-73.9975085
"Julio's Place, Acacia Network Housing, Adult Shelter",Julio's Place, Acacia Network Housing, Adult Shelter,529413.0,Adult Shelter,Manhattan,"TENRIT STUDIOS, INC.,",5.0,0.0,4.0,1.0,{'lat': 40.8098367 'lng': -73.9446626},40.8098367,-73.9446626
"Create Young Adult, Create Incorporated, Adult Shelter",Create Young Adult, Create Incorporated, Adult Shelter,18851.0,Adult Shelter,Manhattan,ROYAL ORLEANS HOTEL NY LLC,1.0,1.0,1.0,1.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
"xxrd Street Men's Shelter, Samaritan Daytop Village, Adult Shelter",xxrd Street Men's Shelter, Samaritan Daytop Village, Adult Shelter,1621.0,Adult Shelter,MANHATTAN,X W. 126TH STREET LLC ,0.0,0.0,0.0,0.0,{'lat': 40.7405502 'lng': -73.9741705},40.7405502,-73.9741705
"Weston TLC, Weston United, Adult Shelter",Weston TLC, Weston United, Adult Shelter,1625.0,Adult Shelter,Manhattan,NBX ACQUISITION LLC,1.0,1.0,1.0,1.0,{'lat': 40.8143591 'lng': -73.9447571},40.8143591,-73.9447571
"Fane Women's Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter",Fane Women's Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter,1614.0,Adult Shelter,Manhattan,CREATE HSG DEV FD CORP,7.0,15.0,7.0,15.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
"xxxth St Plaza Women's Shelter, Lantern Community Services, Adult Shelter",xxxth St Plaza Women's Shelter, Lantern Community Services, Adult Shelter,1644.0,Adult Shelter,Manhattan,YMCA OF GREATER N Y,2.0,7.0,1.0,8.0,{'lat': 40.844498 'lng': -73.93612519999999},40.844498,-73.9361252
"Ft. xxx Armory, Project Renewal, Adult Shelter",Ft. xxx Armory, Project Renewal, Adult Shelter,1619.0,Adult Shelter,Manhattan,WESTON HOUSE HSNG/DVLP/F,0.0,0.0,0.0,0.0,{'lat': 40.7619885 'lng': -73.9793627},40.7619885,-73.9793627
"Audubon Womens Shelter, HELP USA, Adult Shelter",Audubon Womens Shelter, HELP USA, Adult Shelter,1613.0,Adult Shelter,Manhattan,X WEST 135 LLC  ,0.0,5.0,4.0,1.0,{'lat': 40.752325 'lng': -73.97191389999999},40.752325,-73.9719139
"The Fortune Academy, The Fortune Society Inc., Adult Shelter",The Fortune Academy, The Fortune Society Inc., Adult Shelter,1599.0,Adult Shelter,Manhattan,WEST 174 STREET REALTY LLC,1.0,0.0,0.0,1.0,{'lat': 40.8242871 'lng': -73.9544887},40.8242871,-73.9544887
"Harlem Shelter 1, The Doe Fund, Adult Shelter",Harlem Shelter 1, The Doe Fund, Adult Shelter,1604.0,Adult Shelter,Manhattan,NYC Owned (DHS),1.0,9.0,0.0,10.0,{'lat': 40.7727107 'lng': -74.0419695},40.7727107,-74.0419695
"Kenton, Project Renewal, Adult Shelter",Kenton, Project Renewal, Adult Shelter,223489.0,Adult Shelter,Manhattan,X AUDUBON HOLDINGS LLC,0.0,2.0,1.0,1.0,{'lat': 40.763002 'lng': -73.96187979999999},40.763002,-73.9618798
"XXnd Street Womens Center, Care For The Homeless, Adult Shelter",XXnd Street Womens Center, Care For The Homeless, Adult Shelter,544776.0,Adult Shelter,Manhattan,FRT W X ST,3.0,0.0,3.0,0.0,{'lat': 40.7581704 'lng': -73.9698315},40.7581704,-73.9698315
"Help Meyer, HELP USA, Adult Shelter",Help Meyer, HELP USA, Adult Shelter,1601.0,Adult Shelter,Manhattan,NYC Owned (DHS),0.0,8.0,8.0,0.0,{'lat': 40.7899829 'lng': -73.9288084},40.7899829,-73.9288084
"Keener Men's Shelter, HELP USA, Adult Shelter",Keener Men's Shelter, HELP USA, Adult Shelter,1608.0,Adult Shelter,Manhattan,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.7405502 'lng': -73.9741705},40.7405502,-73.9741705
